id,article,author,date,text
500,Свидетель сообщил о ложных показаниях по делу Ассанжа,Non author,"26 июн, 18:49","Один из свидетелей по делу основателя WikiLeaks Джулиана Ассанжа исландец Сигурдур Инги Тордарсон дал ложные показания против обвиняемого. Об этом он сам  исландскому изданию Stundin.Среди прочих обвинений Ассанжу вменяют попытку завербовать хакеров для взлома телефонов членов исландского правительства и записи их разговоров. Минюст США утверждает, что это задание он поручил Тордарсону, и в качестве доказательств были использованы показания исландца.              В интервью Stundin исландец заявил, что Ассанж не просил его предоставить доступ к телефонам депутатов. По словам Тордарсона, он получил эти записи от третьей стороны, которая сама предложила поделиться ими с Ассанжем, при этом не зная, что в этих файлах содержится.Сам Тордарсон в деле фигурирует как «подросток» из «страны НАТО № 1».Ассанж — создатель сайта Wikileaks, на котором неоднократно публиковались секретные материалы, взятые у американской разведки и других госорганов. В частности, в 2010 году на сайте были опубликованы документы, в которых говорилось об обстреле мирных жителей Багдада американскими ВВС.Ассанжа  в 2019 году в Лондоне. В мае того же года американские власти предъявили ему обвинение в том числе в незаконной публикации имен секретных источников, в незаконном доступе к секретной информации и т.д. По этим обвинениям ему грозит до 175 лет лишения свободы.В январе 2021-го суд в Британии  экстрадировать Ассанжа по состоянию здоровья.     "
501,В Москве и Подмосковье продлили оранжевый уровень опасности из-за жары,Non author,"26 июн, 05:17","Гидрометцентр продлил оранжевый уровень погодной опасности в Москве и области из-за аномально высоких температур до 27 июня,  из данных прогностической карты на сайте учреждения.«Оранжевый — погода опасна. Имеется вероятность стихийных бедствий, нанесения ущерба», — сказано в пояснении.Так, новый период предупреждения в столице и области действует до 13:00 27 июня, в Московской области до 3:00 того же дня. Уточняется, что среднесуточная температура будет выше нормы на 7–10 градусов. Также в регионе сохраняется предупреждение о пожарной опасности четвертого класса.              Ранее оранжевый уровень опасности в столице  до 12:00 четверга (24 июня).24 июня синоптики  об отступлении жары в Центральной России к концу месяца. Главный специалист Московского метеобюро Татьяна Позднякова говорила, что понижение температуры прогнозируется в начале следующей недели, хотя в целом жаркая погода в столичном регионе сохранится до конца месяца. По ее словам, температура будет плюс 24–29 градусов, а такое понижение связано со сменой воздушной массы.  Ведущий специалист центра погоды «Фобос» Михаил Леус также , что «пустынная жара» в Москве продержится до конца недели, после чего температура начнет снижаться. «Постепенное понижение температурного фона начнется в воскресенье: мы от 34–36 градусов сместимся в 33–35 градусов. В понедельник будет до 30–32 градусов, возможны кратковременные дожди и грозы», — говорил он."
502,При пожаре в Ивановской области погибли пожарный и ребенок,Non author,"26 июн, 04:59","В поселке Чернореченский в Ивановской области в многоквартирном доме произошел пожар, в результате которого погибли 14-летний подросток и пожарный. Об этом сообщили в пресс-службе ГУ МЧС по региону, передает .«Обнаружен погибший (ребенок 14 лет, личность устанавливается) <…>. Обнаружен старший пожарный 5 ПСЧ, старший сержант, без признаков жизни <...>. В 00:03 БСМП 9 (больница скорой медицинской помощи. — ) констатировала [его] гибель», — говорится в сообщении.По  МЧС, горела квартира площадью 50 кв. м на четвертом этаже здания. В ликвидации возгорания участвовали 80 человек и 22 единицы техники, из дома были эвакуированы 75 жителей. К настоящему моменту пожар потушен, о других пострадавших не сообщалось.              Днем ранее в Москве  пожар в квартире пятиэтажного жилого дома в районе станций метро «Китай-город» и «Лубянка». «Горели личные вещи и мебель в квартире на третьем этаже на площади 25 кв. м», — говорилось в сообщении МЧС. Тогда пострадали двое строителей, которые делали ремонт в помещении. Они были направлены в скорую для проверки."
503,Москвичи и петербуржцы назвали самые популярные пляжи в своих городах,Михаил Добрунов,"26 июн, 05:00","Самыми популярными местами для купания среди москвичей стали открытый бассейн «Чайка» и пляж около Речного вокзала, следует из проведенного сервисами «Ситимобил» и «Самокат» исследования, говорится в поступившем в РБК сообщении. Исследование построено на анализе спроса жителей столицы на услуги такси и доставки.К этим водоемам было совершено 79% от общего числа вызовов на пляжи в столице. Среди жителей Санкт-Петербурга оказались наиболее популярны пляжные зоны на Крестовском острове и в Охта Парке.Жители двух городов в последнее время стали гораздо чаще вызывать такси к местам отдыха. В Москве поездку на пляж с 19 по 23 июня заказали на 157% людей больше, чем с 12 по 16 июня, до наступления жары. В Санкт-Петербурге рост спроса к поездкам на пляж за этот же период составил 166%.              В условиях жары рост интереса к охладительным напиткам и мороженому отметили в «Самокате». Спрос в сервисе на доставку мороженого вырос на 46%, соки стали заказывать чаще на 24%, воду — на 23%, газировку — на 13% от прежних показателей.По информации «Ситимобил», летом 42% горожан намерены отдохнуть на природе, 20% опрошенных городских жителей планируют посетить курорты России. Решили дождаться возможности отдохнуть за рубежом 38% опрошенных.              Жара на европейской части России в этом году бьет многолетние рекорды. 23 июня в Москве стало самым жарким днем за всю историю наблюдений, температура воздуха  плюс 34,3 градуса, в Санкт-Петербурге воздух нагрелся до плюс 35,5 градуса. Жара отступит лишь к концу июня,  РБК главный специалист Московского метеобюро Татьяна Позднякова."
504,Регулятор США расширил список побочных эффектов вакцин Pfizer и Moderna,"Илья Фурсеев, ","26 июн, 05:51","Управление по санитарному контролю за продуктами и медикаментами США (FDA) объявило, что добавило в сопроводительную документацию вакцин Pfizer/BioNTech и Moderna предупреждения о возможных редких побочных эффектах на сердце,  на сайте регулятора.«Сегодня FDA объявляет о внесении изменений в информационные бюллетени для пациентов и поставщиков медицинских услуг Moderna и Pfizer-BioNTech. Данные вакцины от COVID-19 предполагают повышенный риска миокардита (воспаление сердечной мышцы) и перикардита (воспаление ткани, окружающей сердце) после вакцинации», — говорится в сообщении.Так, пациентам рекомендовано немедленно обратиться за медицинской помощью если они почувствуют боль в груди, одышку или ощущение учащенного сердцебиения, трепетания или стука сердца.Ведомство уточнило, что на 300 млн доз вакцин Pfizer и Moderna, примененных в США, было зарегистрировано около 1,2 тыс. случаев миокардита и перикардита. Еще около 300 человек в возрасте до 30 лет оказались в больницах, однако практически все они были выписаны после проведенного обследования.              Вакцины Moderna и Pfizer являются двумя из трех препаратов, одобренных в США, в стране также одобрено для использования однокомпонентное средство американской Johnson & Johnson.Ранее , что Всемирная организация здравоохранения (ВОЗ) изучит, есть ли связь между случаями миокардита (воспаления сердечной мышцы) и вакцинацией от коронавируса препаратом от Pfizer/BioNTech. По словам представителя ВОЗ Марианджелы Симао, информация о таких случаях поступает из США и Израиля. «Мы проводим мониторинг с помощью Стратегической консультативной группы по безопасности вакцин», — говорила она.Зимой 2021 года органы здравоохранения различных стран зафиксировали другие побочные эффекты применения Pfizer. Например, в Израиле у 13 человек после прививки произошел легкий лицевой паралич. В Нидерландах некоторые столкнулись с  аллергией и отеками.В декабре NYT  о первом выявленном в США случае острой аллергической реакции на препарат Moderna. Осложнения появились у врача из Бостона через несколько минут после того, как ему ввели препарат. У мужчины вдвое участилось сердцебиение, появился холодный пот, онемел язык, упало давление. Выяснилось, что у пациента сильная аллергия на моллюсков, по его словам, симптомы, появившиеся после прививки, были такими же, как и реакция на этот аллерген. В марте американские медики , что в некоторых случаях у пациентов могут возникнуть кожные воспаления после введения первой дозы вакцины.По  ВОЗ на 25 июня, США занимают первое место среди стран мира по числу случаев инфицирования коронавирусом — более 33 млн человек, а также по числу летальных исходов — около 600 тыс. человек. За сутки в стране зарегистрировали 14,2 тыс. новых случаев COVID-19, еще 355 человек скончались. "
505,МВД решило обязать мигрантов подписывать «соглашение о лояльности»,Наталия Анисимова,"26 июн, 05:44","МВД планирует обязать иностранных граждан подписывать «соглашение о лояльности» при въезде в Россию, сообщили  в пресс-службе ведомства.Как пояснили в министерстве, документ будет информировать мигрантов о правилах въезда и выезда из России, пребывания в стране и привлечения к трудовой деятельности, о запретах и ограничениях. Соглашение будут использовать как «меру административного воздействия профилактического характера».Предполагается, что мигрант, подписывая документ, подтвердит, что был предупрежден о последствиях нарушения правил пребывания в стране. Также с иностранного гражданина будет взято обязательство оплатить расходы, связанные с возможной высылкой из России в случае несоблюдения условий соглашения.«Введение в законодательство института «соглашения о лояльности» предусмотрено концепцией проекта нового федерального закона в сфере миграции», — сообщило МВД.              В соответствии с законопроектом, те, кто прибывают в страну в визовом порядке, будут подписывать соглашение одновременно при подаче заявления на визу. Иностранцы, которые могут въезжать без визы, будут проходить дактилоскопическую регистрацию.Концепция проекта нового федерального закона в сфере миграции разрабатывается в соответствии с планом мероприятий по реализации в 2019–2021 годах Концепции государственной миграционной политики РФ на 2019–2025 годы, утвержденного распоряжением правительства.В марте МВД , что прорабатывает законопроект, который обяжет иностранцев, прибывающих в Россию для работы, регистрироваться в специально созданном электронном реестре. Электронная регистрация для мигрантов будет обязательным условием для их трудоустройства. Согласно проекту закона, зарегистрироваться в этом реестре обяжут и работодателей иностранцев. Правительство 1 февраля  в Госдуму законопроект об обязательном биометрическом и медицинском контроле для мигрантов, прибывающих в Россию из стран с возможностью безвизового въезда более чем на три месяца. Как отмечали авторы документа, из-за неполного контроля за здоровьем мигрантов увеличивается риск завоза на территорию России инфекционных заболеваний, а биометрические данные помогут  при розыске преступников. 23 июня Совет Федерации  инициативу."
506,В бундестаге оценили идею помощи Украине из-за «Северного потока-2»,Non author,"26 июн, 06:32","Лидер «Альтернативы для Германии», депутат бундестага Тино Крупалла назвал безумием идею о компенсациях Киеву из-за запуска «Северного потока-2». Об этом он заявил в интервью .«То, что стране, которая больше не предоставляет транзит, должна выплачиваться компенсация, я считаю это настоящим безумием. <...> Я не могу себе представить ничего подобного», — сказал он.По его мнению, Россия также не обязана платить транзитные сборы, если она не использует облагаемые этими сборами маршруты, поскольку это «недопустимо с экономической точки зрения».              Ранее Blomberg , что США и Германия обсуждают возможность оказания помощи Украине в сфере энергетики после того, как будет завершено строительство газопровода «Северный поток-2». По информации источников издания, стороны рассчитывают достичь договоренностей по этому вопросу до визита канцлера Германии Ангелы Меркель в США в июле этого года. Среди возможностей, которые обсуждают Берлин и Вашингтон, — инвестиции для помощи Украине в строительстве собственных электростанций, а также план по наращиванию поставок газа из страны.Ранее, 23 июня, госсекретарь США Энтони Блинкен на встрече с Меркель  Германию принять конкретные меры по снижению рисков для Украины от строительства трубопровода. «Госсекретарь Блинкен подчеркнул, что США продолжают противодействовать строительству газопровода «Северный поток-2», и призвал Германию предпринять конкретные шаги по снижению рисков, которые проект представляет для Украины и европейской энергетической безопасности», — говорилось в сообщении Госдепа.Президент Украины Владимир Зеленский также  опасение, что после запуска трубопровода Россия не станет продлевать с Украиной контракт на транзит газа. «Реально у них на руках флеш-рояль, который еще и частично поддерживает Европа», — говорил он. По  президента, если «Северный поток-2» «отключит» Украину от поставок газа, она лишится около $3 млрд в год, что сделает невозможным финансирование армии."
507,Три человека погибли в ДТП с грузовиком на МКАД,Non author,"26 июн, 07:54","Три человека погибли в ДТП с грузовиком на МКАД в районе Калужского шоссе. Об этом  Агентство городских новостей «Москва» со ссылкой на пресс-службу столичного ГУ МВД России.Представитель главка заявил, что столкновение легкового и грузового автомобилей произошло в 05:35 на внутренней стороне 41 км МКАД.«По предварительным данным, водитель и два пассажира легковушки скончались на месте», — добавил он.              В столичном главке отметили, что сейчас на месте работают сотрудники ГИБДД. Они устанавливают все обстоятельства произошедшего.Telegram-канал «112» , что на МКАД столкнулись такси и грузовая машина, в результате чего погибли водитель такси и две женщины. Источник  в правоохранительных органах столицы уточнил, что участниками ДТП оказались такси и поливальная машина. Он добавил, что водитель поливальной машины был госпитализирован.Ранее, 11 мая, на 53-м километре МКАД  два транспортных средства, в результате чего три человека погибли. Источник  в правоохранительных органах сообщал, что среди погибших есть один ребенок. Также он добавил, что столкнулись легковая и уборочная машины."
508,В Роспотребнадзоре оценили возможность снижения циркуляции COVID в жару,Non author,"26 июн, 08:37","Для того чтобы оценить влияние жары на снижение интенсивности циркуляции коронавирусной инфекции, пока недостаточно данных, однако есть вероятность, что между этими факторами существует взаимосвязь. Об этом  сообщила заместитель директора по клинико-аналитической работе ЦНИИ эпидемиологии Роспотребнадзора Наталья Пшеничная.По ее словам, существует вероятность, что жара действительно снижает циркуляцию COVID-19, однако при обязательном условии соблюдения противоэпидемических мер.Тем не менее возможность оценить влияние жаркой погоды на интенсивность распространения заболевания появится чуть позже, так как жара установилась во многих российских регионах недавно.              В июне прошлого года глава Минздрава Михаил Мурашко , что жаркая погода не приводит к снижению активности коронавируса. Он отметил, что к такому выводу пришли российские специалисты, общаясь с зарубежными коллегами, в том числе из стран, «где температура уже давно держится на высоких цифрах».В то же время в этот период отходят на второй план острые респираторные заболевания, с которыми мы сталкиваемся в весенне-осенний период, отметил министр. Эти заболевания могут в том числе ухудшать течение COVID-19, добавил он.В мае 2020 года в Роспотребнадзоре , что при температуре +30 градусов и выше коронавирус «практически полностью теряет свою инфекционную активность», а при температуре +70 градусов полностью дезактивируется.  "
509,В МИД обозначили условие для подключения США к урегулированию на Украине,Non author,"26 июн, 06:15","Москва допускает подключение США к украинскому урегулированию, если Вашингтон сможет повлиять на Киев для выполнения минских соглашений. Об этом заявил замглавы российского МИДа Сергей Рябков, передает .«Я не знаю, каковы могут быть параметры обсуждения этой темы в дальнейшем. Раньше были ситуации, когда допускалось участие США в этом процессе», — сказал Рябков, отвечая на вопрос, как в Москве оценивают намерения Киева.По его мнению, главный вопрос заключается в том, «насколько способны американские коллеги играть конструктивную роль». «То есть насколько они понимают, что без известных шагов со стороны Киева не получится сдвинуть с места весь этот процесс», — уточнил он.Дипломат полагает, что если США придут к выводу, что определенная перспектива такой работы с Украиной имеется, тогда они вполне могут «в том или ином виде посодействовать».Замглавы МИДа также подчеркнул, что «при нынешнем подходе американцам на Украине делать нечего».              Ранее МИД Украины , что вопрос продолжения привлечения США к урегулированию конфликта в Донбассе станет «темой номер один» на переговорах президентов Украины и США. «Безусловно, тема привлечения США, продолжения привлечения к процессу мирного урегулирования в Донбассе будет ключевой во время визита. Там будет много других тем, но это тема номер один», — говорил глава МИД Украины Дмитрий Кулеба.О том, что США отводится одна из ключевых ролей в прекращении кризиса на востоке Украины, в феврале этого года  руководитель офиса украинского президента Андрей Ермак. «Сегодня есть «нормандский формат», в котором есть четыре стороны (Россия, Украина, Франция и Германия. —). Присоединение нового участника к этому формату — это решение этих четырех участников. Но я абсолютно уверен, что США как стратегический партнер Украины должны и могут сыграть одну из ключевых ролей в прекращении военного конфликта», — заявлял Ермак.  Мысль о поддержке Вашингтоном суверенитета Украины ранее также  советник президента США по национальной безопасности Джейк Салливан. Однако он подчеркивал, что США намерены осуществлять свою поддержку по дипломатическим каналам высокого уровня, «а не за счет публикации ультиматумов»."
510,Липовые справки о вакцинации стали предлагать в полтора раза чаще,Елизавета Ламова,"26 июн, 09:00","Число предложений о продаже сертификатов о прививке от COVID-19 выросло на 50% после введения обязательной вакцинации для работников торговли и сферы услуг. Об этом РБК сообщил ведущий аналитик департамента защиты от цифровых рисков Group-IB Евгений Егоров.С 16 июня специалисты Group-IB выявили 61 предложение о продаже сертификатов о вакцинации, что в два раза превышает показатель за весь май. Больше всего предложений распространяется через мессенджеры и теневые форумы, в то время как на сайтах и в социальных сетях их становится все меньше, отмечают в компании.16 июня московские власти объявили о введении обязательной вакцинации для работников сферы торговли и услуг. Работодатели ряда сфер должны привить не менее 60% сотрудников первой дозой до 15 июля, второй дозой — до 15 августа. Вслед за Москвой подобные меры ввели в некоторых других регионах: Нижегородской, Мурманской, Тульской, Ленинградской, Тверской и других областях.За последнюю неделю изменилась и структура предложения. «До 16 июня количество предложений с занесением заказчика в реестр вакцинированных от коронавируса составляло около половины всех предложений. Сейчас большая часть новых предложений включают данную услугу», — рассказал Егоров. При этом, добавляет он, средняя цена поддельных сертификатов остается на прежнем уровне: от 1200 до 3 тыс. руб. — без занесения в реестр вакцинированных, и от 3 тыс. до 25 тыс. руб. — с занесением.              Рост числа объявлений о продаже сертификатов фиксирует и директор блока экспертных сервисов BI.ZONE Евгений Волошин. Как он сообщил РБК, на данный момент на форумах в даркнете размещено как минимум 33 актуальных предложения: 12 из них были опубликованы в мае, и 17 — с 1 по 23 июня. Средняя цена сертификата, по оценке Волошина, составляет 11 тыс. руб. Основным каналом продажи остаются теневые форумы и закрытые группы «серых услуг».Эксперт по кибербезопасности из «Лаборатории Касперского» Дмитрий Галов допустил, что увеличение предложений в теневом сегменте интернета может быть связано с введением новых антиковидных мер. «Это неудивительно, ведь черный рынок, как и любой другой, быстро реагирует на актуальные события», — сказал он РБК. Однако предупредил, что неизвестно, какой процент из всех опубликованных предложений представляют собой откровенно мошеннические объявления. По данным компании на март, сертификат о вакцинации «с проводкой», то есть занесение в систему «Госуслуги», стоил около 20 тыс. руб.Ранее Telegram-канал In4security , что в мае появилось примерно 360 новых доменов, имеющих отношение к тематике торговли сертификатами о вакцинации.              Корреспондент РБК связался с несколькими продавцами поддельных сертификатов. Паспорт вакцинированного с QR-кодом и отображением в реестре «Госуслуг» предлагали приобрести за сумму от 2800 до 5 тыс. руб. «Если просто бумажка, от нее толку никакого, можно любую распечатать там, сделать. У нас все официально на госуслугах будет», — уверял продавец. Поставить первый укол можно в течение суток, отметка о втором вводе появилась бы через 21 день. В сертификате обещали вакцинацию «Спутником V». На вопрос, где территориально будет поставлена прививка, один из продавцов сказал, что фиктивная вакцинация будет в Воронеже.В середине июня корреспондент Baza , как купил подобный сертификат о вакцинации «Спутником V». Через обещанное время на его странице в «Госуслугах» появилась отметка о вакцинации. Фиктивная прививка стоила 12 тыс. руб.              В Москве  24 уголовных дела в связи с торговлей фальшивыми сертификатами о вакцинации, сообщала пресс-служба ГУ МВД по Москве. Дела направлены в суд; продавцов поддельных сертификатов обвиняют по ст. 327 УК «Подделка, изготовление или оборот поддельных документов, государственных наград, штампов, печатей или бланков», которая предусматривает лишение свободы до двух лет, а в случае, если деяние носило неоднократный характер, — до четырех лет.О контрольных закупках  и полиция Санкт-Петербурга. За два дня было выявлено пять фактов продажи сертификатов, в одном из районов города полицейские задержали автолавку, в которой были бланки медицинских документов и печати медучреждений.РБК направил запрос в пресс-службу МВД России.Спикер Госдумы Вячеслав Володин , что нелегальный бизнес такого рода должен жестко пресекаться полицией, однако долг каждого россиянина в том, чтобы не поддерживать незаконную торговлю.Сайты с объявлениями о продаже поддельных сертификатов активно  Роскомнадзор. С 21 июня было заблокировано или удалено пять материалов с предложениями о продаже сертификатов о вакцинации и справок об отсутствии COVID-19, сообщили РБК в пресс-службе ведомства. В Роскомнадзоре добавили, что всего в 2021 году на основании судебных решений и требований Генпрокуратуры закрыли 224 страницы, в том числе содержащие подобные объявления.Согласно законодательству, уголовная ответственность предусмотрена не только для тех, кто подделывает сертификаты, но и для тех, кто их покупает. В четверг, 24 июня, «Яндекс» в поисковую выдачу при запросе о покупке сертификата о прививке от коронавируса добавил дисклеймер, что за использование поддельных медицинских справок предусмотрена ответственность по ч. 3 ст. 327 УК (лишение свободы на срок до одного года). Как пояснил представитель «Яндекса», компания «заботится о своих пользователях и хочет предупредить их про возможную ответственность за покупку сертификатов о вакцинации».Адвокат Виктория Данильченко рассказала РБК, что покупатель поддельного сертификата будет нести ответственность за использование подложного документа (ч. 5 ст. 327 УК РФ). Статья предполагает штраф до 80 тыс. руб. или в размере заработной платы. В то же время адвокат не исключает, что пойманному на использовании фальшивого сертификата могут вменить и его фальсификацию. Тогда наказание будет более серьезным. «Когда человека ловят с поддельным документом, есть шанс, что не будут разбираться, подделали его другие люди или нет», — отметила она. По мнению Данильченко, в ближайшее время все большее число людей будут привлекать к ответственности за покупку нелегальных сертификатов. Сейчас ч. 5 ст. 327 чаще всего применяется к тем, кто использует поддельный паспорт или предоставляет заведомо ложные материалы в суде."
511,Посол России предостерег Британию от повторения провокаций в Черном море,Non author,"26 июн, 07:25","В случае повторения Лондоном провокаций, аналогичных инциденту с эсминцем Defender у берегов Крыма, не исключено, что Россия будет жестко реагировать. Об этом сообщил посол России в Великобритании Андрей Келин в  телеканала «Россия 24».«Если пойдет эскалация, если подобные провокации будут повторяться, особенно вблизи берегов Крыма, то я совершенно не исключаю того, что нам придется отвечать достаточно жестко. И ухудшение [отношений] пойдет еще дальше», — сказал он.По его словам, в данный момент уже трудно повлиять на российско-британские отношения, поскольку «они загнаны в тупик и находятся близко к точке замерзания».              23 июня, Минобороны России , что британский эсминец Defender пересек границу России в северо-западной части Черного моря — он вошел в территориальные воды на 3 км около мыса Фиолент в Крыму и не реагировал на предупреждения российских военных. После того как российский сторожевой корабль открыл огонь, а бомбардировщик Су-24М сбросил перед нарушителем несколько бомб, Defender покинул российские территориальные воды.Изначально в Минобороны Британии , что предупредительная стрельба со стороны России не велась и предположили, что российские военные проводили учения в акватории Черного моря. Однако позже, ФСБ России  видео переговоров экипажа российского сторожевого корабля, которое подтверждает, что российские военные неоднократно призывали британский эсминец Defender сменить курс. Также корреспондент Би-би-си Джонатан Бил, который находился в тот момент на британском эсминце, , что капитан корабля намеренно вошел в территориальные воды России, перед этим приведя в боевую готовность экипаж и вооружения.                В Кремле  случившееся сознательной провокацией. «Мы сожалеем, потому что это была сознательная и подготовленная провокация. Мы обеспокоены в связи с подобными действиями британского корабля», — говорил пресс-секретарь российского президента Дмитрий Песков. Посла Великобритании в России Дебору Броннерт  в МИД и вручили ноту протеста."
